Job_Title,Company,Location,Skills,Experience_Level,Salary
Software Engineer,Microsoft,"San Francisco, CA","Python, SQL, Machine Learning",Mid,83528
DevOps Engineer,Tesla,"Seattle, WA","Python, Pandas, Data Science",Entry,64352
AI Engineer,Microsoft,"San Francisco, CA","Java, AWS, Docker",Senior,60184
Machine Learning Engineer,Facebook,"Boston, MA","JavaScript, React, Node.js",Entry,74319
AI Engineer,Microsoft,"New York, NY","JavaScript, React, Node.js",Senior,180497
AI Engineer,Facebook,"Seattle, WA","Python, SQL, Machine Learning",Entry,116333
Software Engineer,Google,"San Francisco, CA","C++, Deep Learning, TensorFlow",Mid,101205
AI Engineer,Microsoft,"New York, NY","C++, Deep Learning, TensorFlow",Senior,70426
DevOps Engineer,Tesla,"Austin, TX","Python, SQL, Machine Learning",Mid,67504
AI Engineer,Facebook,"San Francisco, CA","JavaScript, React, Node.js",Senior,176775
Software Engineer,Tesla,"New York, NY","JavaScript, React, Node.js",Entry,93368
DevOps Engineer,Amazon,"Boston, MA","C++, Deep Learning, TensorFlow",Senior,163841
Data Scientist,Facebook,"Austin, TX","Java, AWS, Docker",Mid,176744
AI Engineer,Microsoft,"Boston, MA","Python, Pandas, Data Science",Senior,68724
Software Engineer,Facebook,"New York, NY","Java, AWS, Docker",Entry,196156
Data Scientist,Tesla,"Boston, MA","JavaScript, React, Node.js",Senior,142297
Data Scientist,Google,"New York, NY","Java, AWS, Docker",Mid,185099
Machine Learning Engineer,Facebook,"New York, NY","Python, Pandas, Data Science",Entry,138872
DevOps Engineer,Microsoft,"Boston, MA","Java, AWS, Docker",Mid,130333
AI Engineer,Amazon,"New York, NY","Java, AWS, Docker",Senior,62596
Software Engineer,Google,"San Francisco, CA","Java, AWS, Docker",Mid,77167
Machine Learning Engineer,Amazon,"New York, NY","Java, AWS, Docker",Senior,147844
DevOps Engineer,Facebook,"Seattle, WA","Python, SQL, Machine Learning",Entry,149751
Machine Learning Engineer,Tesla,"New York, NY","JavaScript, React, Node.js",Mid,189817
DevOps Engineer,Tesla,"Seattle, WA","Python, Pandas, Data Science",Mid,140520
DevOps Engineer,Microsoft,"New York, NY","JavaScript, React, Node.js",Senior,118326
AI Engineer,Tesla,"New York, NY","Python, SQL, Machine Learning",Mid,137670
DevOps Engineer,Google,"Boston, MA","Python, SQL, Machine Learning",Mid,84022
Machine Learning Engineer,Tesla,"San Francisco, CA","Python, SQL, Machine Learning",Entry,144458
DevOps Engineer,Microsoft,"San Francisco, CA","Python, SQL, Machine Learning",Senior,143796
AI Engineer,Facebook,"Austin, TX","Java, AWS, Docker",Senior,170704
AI Engineer,Facebook,"Boston, MA","JavaScript, React, Node.js",Entry,194598
Machine Learning Engineer,Tesla,"Boston, MA","C++, Deep Learning, TensorFlow",Entry,104361
Data Scientist,Amazon,"San Francisco, CA","Python, Pandas, Data Science",Senior,98286
Data Scientist,Facebook,"Boston, MA","Python, SQL, Machine Learning",Entry,89533
DevOps Engineer,Tesla,"San Francisco, CA","JavaScript, React, Node.js",Entry,199771
Software Engineer,Microsoft,"Boston, MA","Python, SQL, Machine Learning",Entry,187441
DevOps Engineer,Tesla,"New York, NY","Python, SQL, Machine Learning",Senior,157079
Machine Learning Engineer,Facebook,"San Francisco, CA","Python, SQL, Machine Learning",Entry,160960
Machine Learning Engineer,Microsoft,"San Francisco, CA","Python, SQL, Machine Learning",Mid,118465
Machine Learning Engineer,Tesla,"Seattle, WA","Python, SQL, Machine Learning",Mid,83395
Machine Learning Engineer,Google,"Boston, MA","Python, Pandas, Data Science",Senior,164162
Machine Learning Engineer,Microsoft,"Boston, MA","JavaScript, React, Node.js",Entry,190704
AI Engineer,Google,"San Francisco, CA","Python, SQL, Machine Learning",Mid,135937
Data Scientist,Amazon,"New York, NY","Python, SQL, Machine Learning",Senior,189647
Machine Learning Engineer,Microsoft,"New York, NY","Python, SQL, Machine Learning",Mid,180650
Software Engineer,Google,"New York, NY","Python, SQL, Machine Learning",Entry,190744
Software Engineer,Facebook,"Boston, MA","Java, AWS, Docker",Senior,151512
Software Engineer,Facebook,"Seattle, WA","Java, AWS, Docker",Mid,199830
Software Engineer,Amazon,"San Francisco, CA","C++, Deep Learning, TensorFlow",Senior,127009
AI Engineer,Microsoft,"Austin, TX","Python, SQL, Machine Learning",Mid,92548
Software Engineer,Microsoft,"Seattle, WA","C++, Deep Learning, TensorFlow",Mid,78371
Machine Learning Engineer,Microsoft,"Austin, TX","Python, Pandas, Data Science",Entry,165977
DevOps Engineer,Amazon,"Seattle, WA","C++, Deep Learning, TensorFlow",Entry,74281
Software Engineer,Microsoft,"New York, NY","JavaScript, React, Node.js",Mid,196126
AI Engineer,Facebook,"Boston, MA","Java, AWS, Docker",Senior,160020
AI Engineer,Google,"Austin, TX","Java, AWS, Docker",Senior,167508
Software Engineer,Facebook,"Seattle, WA","Python, SQL, Machine Learning",Entry,126846
DevOps Engineer,Facebook,"Boston, MA","Python, SQL, Machine Learning",Mid,154682
Software Engineer,Google,"Austin, TX","Python, Pandas, Data Science",Entry,89312
AI Engineer,Facebook,"San Francisco, CA","Python, Pandas, Data Science",Mid,174186
Data Scientist,Amazon,"Seattle, WA","JavaScript, React, Node.js",Mid,64257
Machine Learning Engineer,Google,"San Francisco, CA","Python, SQL, Machine Learning",Entry,86558
AI Engineer,Facebook,"New York, NY","Python, SQL, Machine Learning",Senior,103188
Software Engineer,Tesla,"San Francisco, CA","Python, Pandas, Data Science",Entry,93236
Machine Learning Engineer,Facebook,"San Francisco, CA","Python, Pandas, Data Science",Mid,105076
Software Engineer,Amazon,"Seattle, WA","Python, Pandas, Data Science",Entry,108402
Software Engineer,Microsoft,"New York, NY","Java, AWS, Docker",Senior,154467
Data Scientist,Facebook,"San Francisco, CA","C++, Deep Learning, TensorFlow",Senior,140337
Machine Learning Engineer,Microsoft,"Boston, MA","C++, Deep Learning, TensorFlow",Mid,175827
Machine Learning Engineer,Tesla,"Austin, TX","Python, SQL, Machine Learning",Entry,134264
Data Scientist,Facebook,"San Francisco, CA","Java, AWS, Docker",Senior,77335
AI Engineer,Google,"New York, NY","Python, Pandas, Data Science",Entry,103773
Software Engineer,Microsoft,"San Francisco, CA","Python, SQL, Machine Learning",Senior,88570
DevOps Engineer,Tesla,"Austin, TX","Java, AWS, Docker",Mid,147995
Software Engineer,Google,"New York, NY","JavaScript, React, Node.js",Mid,100658
Software Engineer,Google,"Seattle, WA","Java, AWS, Docker",Entry,180640
AI Engineer,Google,"New York, NY","Python, SQL, Machine Learning",Mid,132613
Software Engineer,Google,"Seattle, WA","C++, Deep Learning, TensorFlow",Senior,118194
Data Scientist,Facebook,"New York, NY","Python, Pandas, Data Science",Mid,171872
Data Scientist,Facebook,"Austin, TX","JavaScript, React, Node.js",Senior,168558
Machine Learning Engineer,Facebook,"Austin, TX","Java, AWS, Docker",Senior,128582
DevOps Engineer,Tesla,"New York, NY","Python, SQL, Machine Learning",Mid,109456
Software Engineer,Tesla,"San Francisco, CA","Python, SQL, Machine Learning",Senior,115491
Software Engineer,Tesla,"Austin, TX","Python, Pandas, Data Science",Senior,68043
AI Engineer,Amazon,"Seattle, WA","Python, SQL, Machine Learning",Entry,163212
Data Scientist,Tesla,"Seattle, WA","Python, SQL, Machine Learning",Entry,128340
DevOps Engineer,Facebook,"Boston, MA","Python, Pandas, Data Science",Entry,195008
Machine Learning Engineer,Facebook,"Seattle, WA","JavaScript, React, Node.js",Mid,91174
Data Scientist,Amazon,"Boston, MA","C++, Deep Learning, TensorFlow",Entry,142632
Machine Learning Engineer,Amazon,"New York, NY","C++, Deep Learning, TensorFlow",Senior,148768
AI Engineer,Tesla,"New York, NY","Java, AWS, Docker",Mid,185775
AI Engineer,Microsoft,"New York, NY","JavaScript, React, Node.js",Mid,168177
Software Engineer,Amazon,"San Francisco, CA","Java, AWS, Docker",Mid,85909
DevOps Engineer,Google,"San Francisco, CA","C++, Deep Learning, TensorFlow",Mid,104158
Machine Learning Engineer,Facebook,"Boston, MA","Python, Pandas, Data Science",Senior,199438
Data Scientist,Google,"Seattle, WA","Python, SQL, Machine Learning",Senior,184296
AI Engineer,Facebook,"Seattle, WA","C++, Deep Learning, TensorFlow",Entry,119331
Software Engineer,Facebook,"New York, NY","JavaScript, React, Node.js",Mid,147367
Software Engineer,Amazon,"Austin, TX","C++, Deep Learning, TensorFlow",Entry,125382
Machine Learning Engineer,Amazon,"San Francisco, CA","JavaScript, React, Node.js",Senior,134319
AI Engineer,Google,"San Francisco, CA","JavaScript, React, Node.js",Mid,71170
DevOps Engineer,Facebook,"New York, NY","JavaScript, React, Node.js",Senior,179952
AI Engineer,Google,"San Francisco, CA","Java, AWS, Docker",Entry,140145
Machine Learning Engineer,Microsoft,"New York, NY","Python, Pandas, Data Science",Senior,165626
Machine Learning Engineer,Google,"Boston, MA","C++, Deep Learning, TensorFlow",Mid,76208
AI Engineer,Tesla,"Seattle, WA","Python, Pandas, Data Science",Mid,74990
Machine Learning Engineer,Google,"Austin, TX","Python, SQL, Machine Learning",Entry,197513
AI Engineer,Tesla,"Seattle, WA","C++, Deep Learning, TensorFlow",Mid,189327
Data Scientist,Tesla,"Seattle, WA","Python, Pandas, Data Science",Senior,139314
AI Engineer,Tesla,"Boston, MA","Python, Pandas, Data Science",Senior,86862
AI Engineer,Microsoft,"San Francisco, CA","Python, SQL, Machine Learning",Senior,153949
Machine Learning Engineer,Google,"Austin, TX","JavaScript, React, Node.js",Senior,190223
Machine Learning Engineer,Google,"San Francisco, CA","C++, Deep Learning, TensorFlow",Entry,63956
Software Engineer,Microsoft,"Seattle, WA","C++, Deep Learning, TensorFlow",Senior,148789
Software Engineer,Facebook,"New York, NY","Python, SQL, Machine Learning",Entry,149451
Data Scientist,Amazon,"Seattle, WA","JavaScript, React, Node.js",Senior,177782
Software Engineer,Google,"San Francisco, CA","C++, Deep Learning, TensorFlow",Entry,62365
AI Engineer,Amazon,"Seattle, WA","C++, Deep Learning, TensorFlow",Senior,132204
Machine Learning Engineer,Microsoft,"New York, NY","C++, Deep Learning, TensorFlow",Senior,196072
Software Engineer,Facebook,"Boston, MA","JavaScript, React, Node.js",Entry,117072
Software Engineer,Facebook,"San Francisco, CA","Python, SQL, Machine Learning",Mid,112499
Data Scientist,Facebook,"Seattle, WA","C++, Deep Learning, TensorFlow",Mid,129211
Data Scientist,Microsoft,"San Francisco, CA","Python, Pandas, Data Science",Mid,145220
AI Engineer,Tesla,"Boston, MA","JavaScript, React, Node.js",Entry,153847
Machine Learning Engineer,Tesla,"Seattle, WA","Java, AWS, Docker",Mid,169459
Data Scientist,Amazon,"Seattle, WA","Python, SQL, Machine Learning",Mid,137755
Software Engineer,Tesla,"San Francisco, CA","Python, Pandas, Data Science",Entry,128783
Machine Learning Engineer,Tesla,"San Francisco, CA","C++, Deep Learning, TensorFlow",Mid,187851
Machine Learning Engineer,Facebook,"New York, NY","Java, AWS, Docker",Mid,66472
Software Engineer,Facebook,"Boston, MA","Python, SQL, Machine Learning",Mid,163152
Data Scientist,Amazon,"New York, NY","JavaScript, React, Node.js",Entry,199334
Software Engineer,Google,"Seattle, WA","Java, AWS, Docker",Entry,67008
Machine Learning Engineer,Amazon,"San Francisco, CA","Java, AWS, Docker",Mid,147851
DevOps Engineer,Amazon,"Seattle, WA","Python, Pandas, Data Science",Mid,140799
DevOps Engineer,Microsoft,"Seattle, WA","Python, SQL, Machine Learning",Entry,76238
AI Engineer,Microsoft,"Austin, TX","Python, Pandas, Data Science",Mid,77153
Software Engineer,Amazon,"Austin, TX","Python, Pandas, Data Science",Entry,119353
Software Engineer,Amazon,"Seattle, WA","C++, Deep Learning, TensorFlow",Mid,112092
AI Engineer,Amazon,"San Francisco, CA","JavaScript, React, Node.js",Entry,109104
AI Engineer,Tesla,"Seattle, WA","Java, AWS, Docker",Senior,88887
AI Engineer,Microsoft,"Austin, TX","Python, SQL, Machine Learning",Senior,64355
Machine Learning Engineer,Amazon,"San Francisco, CA","JavaScript, React, Node.js",Entry,93701
Software Engineer,Facebook,"Seattle, WA","JavaScript, React, Node.js",Senior,131442
Machine Learning Engineer,Facebook,"Boston, MA","Python, SQL, Machine Learning",Mid,72279
AI Engineer,Tesla,"Boston, MA","JavaScript, React, Node.js",Entry,180738
Software Engineer,Tesla,"Seattle, WA","C++, Deep Learning, TensorFlow",Entry,199333
Machine Learning Engineer,Google,"San Francisco, CA","JavaScript, React, Node.js",Mid,195546
Machine Learning Engineer,Google,"Seattle, WA","C++, Deep Learning, TensorFlow",Mid,151414
AI Engineer,Google,"Seattle, WA","Java, AWS, Docker",Entry,88390
Software Engineer,Tesla,"Austin, TX","Java, AWS, Docker",Mid,142174
AI Engineer,Tesla,"Boston, MA","Python, Pandas, Data Science",Entry,64787
Software Engineer,Tesla,"Austin, TX","C++, Deep Learning, TensorFlow",Mid,103724
DevOps Engineer,Facebook,"Austin, TX","Java, AWS, Docker",Entry,70663
Data Scientist,Tesla,"Seattle, WA","JavaScript, React, Node.js",Mid,193107
Data Scientist,Facebook,"Austin, TX","Python, SQL, Machine Learning",Mid,160271
Data Scientist,Google,"Boston, MA","Python, SQL, Machine Learning",Senior,127388
AI Engineer,Google,"Austin, TX","C++, Deep Learning, TensorFlow",Senior,112335
DevOps Engineer,Google,"Boston, MA","Python, Pandas, Data Science",Senior,103315
Software Engineer,Amazon,"Austin, TX","JavaScript, React, Node.js",Mid,164922
Machine Learning Engineer,Amazon,"Boston, MA","C++, Deep Learning, TensorFlow",Entry,106627
Software Engineer,Microsoft,"Austin, TX","Python, SQL, Machine Learning",Mid,199375
Machine Learning Engineer,Microsoft,"Austin, TX","C++, Deep Learning, TensorFlow",Senior,109334
Software Engineer,Microsoft,"San Francisco, CA","JavaScript, React, Node.js",Mid,125700
DevOps Engineer,Amazon,"Boston, MA","Java, AWS, Docker",Senior,99726
Machine Learning Engineer,Amazon,"Boston, MA","JavaScript, React, Node.js",Senior,90694
AI Engineer,Microsoft,"Boston, MA","Java, AWS, Docker",Entry,123545
Software Engineer,Microsoft,"New York, NY","Java, AWS, Docker",Entry,66033
Software Engineer,Tesla,"Austin, TX","Java, AWS, Docker",Senior,122461
Machine Learning Engineer,Microsoft,"Boston, MA","C++, Deep Learning, TensorFlow",Senior,62665
AI Engineer,Tesla,"New York, NY","Python, SQL, Machine Learning",Mid,87025
AI Engineer,Facebook,"San Francisco, CA","C++, Deep Learning, TensorFlow",Senior,137661
DevOps Engineer,Amazon,"Boston, MA","Python, SQL, Machine Learning",Mid,180473
AI Engineer,Microsoft,"Boston, MA","JavaScript, React, Node.js",Senior,80998
AI Engineer,Amazon,"New York, NY","Python, Pandas, Data Science",Entry,121248
AI Engineer,Amazon,"Austin, TX","JavaScript, React, Node.js",Entry,164493
Data Scientist,Amazon,"San Francisco, CA","C++, Deep Learning, TensorFlow",Senior,83057
DevOps Engineer,Facebook,"Boston, MA","C++, Deep Learning, TensorFlow",Mid,139244
Software Engineer,Google,"Austin, TX","Python, SQL, Machine Learning",Mid,157031
Machine Learning Engineer,Microsoft,"San Francisco, CA","C++, Deep Learning, TensorFlow",Mid,172713
Software Engineer,Google,"Seattle, WA","Java, AWS, Docker",Senior,165887
DevOps Engineer,Google,"Seattle, WA","C++, Deep Learning, TensorFlow",Senior,127173
Machine Learning Engineer,Google,"San Francisco, CA","Python, SQL, Machine Learning",Entry,98734
DevOps Engineer,Amazon,"New York, NY","Python, SQL, Machine Learning",Entry,122072
AI Engineer,Tesla,"San Francisco, CA","Java, AWS, Docker",Senior,154194
Machine Learning Engineer,Amazon,"San Francisco, CA","Python, SQL, Machine Learning",Entry,199741
AI Engineer,Amazon,"New York, NY","Python, Pandas, Data Science",Mid,173272
Software Engineer,Google,"New York, NY","JavaScript, React, Node.js",Mid,127902
Software Engineer,Amazon,"Austin, TX","C++, Deep Learning, TensorFlow",Senior,182247
Machine Learning Engineer,Google,"Austin, TX","Python, Pandas, Data Science",Mid,116959
Machine Learning Engineer,Tesla,"New York, NY","C++, Deep Learning, TensorFlow",Senior,156623
DevOps Engineer,Microsoft,"Seattle, WA","Python, Pandas, Data Science",Mid,191438
DevOps Engineer,Google,"Seattle, WA","C++, Deep Learning, TensorFlow",Senior,108415
AI Engineer,Tesla,"San Francisco, CA","Java, AWS, Docker",Mid,184716
Machine Learning Engineer,Microsoft,"Boston, MA","Python, SQL, Machine Learning",Mid,181209
Software Engineer,Facebook,"San Francisco, CA","Python, SQL, Machine Learning",Entry,69907
DevOps Engineer,Google,"San Francisco, CA","Java, AWS, Docker",Entry,155825
DevOps Engineer,Google,"Boston, MA","Python, Pandas, Data Science",Entry,92780
Software Engineer,Facebook,"New York, NY","JavaScript, React, Node.js",Entry,95085
DevOps Engineer,Facebook,"Seattle, WA","Python, Pandas, Data Science",Entry,80426
AI Engineer,Google,"San Francisco, CA","Python, SQL, Machine Learning",Entry,67485
Machine Learning Engineer,Facebook,"Boston, MA","JavaScript, React, Node.js",Senior,109527
Software Engineer,Amazon,"Austin, TX","C++, Deep Learning, TensorFlow",Senior,184604
Machine Learning Engineer,Microsoft,"San Francisco, CA","JavaScript, React, Node.js",Entry,151005
DevOps Engineer,Microsoft,"Seattle, WA","Python, Pandas, Data Science",Senior,118528
DevOps Engineer,Microsoft,"New York, NY","Java, AWS, Docker",Entry,180631
Software Engineer,Amazon,"San Francisco, CA","C++, Deep Learning, TensorFlow",Senior,87799
AI Engineer,Facebook,"San Francisco, CA","Python, Pandas, Data Science",Mid,198518
Data Scientist,Tesla,"Boston, MA","C++, Deep Learning, TensorFlow",Senior,154817
Software Engineer,Facebook,"Austin, TX","JavaScript, React, Node.js",Senior,118260
Data Scientist,Google,"Austin, TX","Python, SQL, Machine Learning",Senior,72943
Data Scientist,Microsoft,"New York, NY","Python, Pandas, Data Science",Mid,181401
AI Engineer,Facebook,"Seattle, WA","Java, AWS, Docker",Entry,87371
Data Scientist,Tesla,"New York, NY","JavaScript, React, Node.js",Senior,158746
Data Scientist,Google,"San Francisco, CA","Python, Pandas, Data Science",Senior,161248
AI Engineer,Amazon,"San Francisco, CA","Java, AWS, Docker",Mid,195008
Data Scientist,Amazon,"Austin, TX","Python, Pandas, Data Science",Entry,85727
Data Scientist,Tesla,"Seattle, WA","JavaScript, React, Node.js",Senior,174000
Data Scientist,Google,"Boston, MA","Python, Pandas, Data Science",Mid,123969
Software Engineer,Microsoft,"Seattle, WA","C++, Deep Learning, TensorFlow",Entry,128531
Software Engineer,Facebook,"San Francisco, CA","JavaScript, React, Node.js",Entry,99097
Software Engineer,Google,"Boston, MA","Python, Pandas, Data Science",Senior,110859
AI Engineer,Amazon,"Seattle, WA","Python, SQL, Machine Learning",Senior,116790
DevOps Engineer,Tesla,"Seattle, WA","Python, Pandas, Data Science",Senior,125696
Data Scientist,Tesla,"Boston, MA","C++, Deep Learning, TensorFlow",Senior,75648
Data Scientist,Facebook,"San Francisco, CA","Java, AWS, Docker",Mid,121779
